question,option_1,option_2,option_3,option_4,correct_option,Subject,topic,correct_answer,Correct_Option_Number
"Two parallel metal plates having charges \( +Q \) and \( -Q \) face each other at a certain distance between them. If the
plates are now dipped in kerosene oil tank, the electric field between the
plates will :",become zero,increase,decrease,remains same,,Physics,Electricity,become zero,1
"Find the new position of the balance point when \( 5 \omega \) resistor is changed by 4
\( \omega \) resistor",\( 26.5 \mathrm{cm} \),52 \( \mathrm{cm} \),67.2 \( \mathrm{cm} \),\( 83.3 \mathrm{cm} \),,Physics,Electricity,\( 26.5 \mathrm{cm} \),1
"The capacitance of a parallel-plate
capacitor is \( C_{0} \) when the region
between the plates has air. This region
is now filled with a dielectric slab of
dielectric constant K. The capacitor is
connected to a cell emf \( \varepsilon_{1} \) and the slab
is taken out.
This question has multiple correct options",Charge \( \varepsilon C_{0}(K-1) \) flows through the cell,Energy \( \varepsilon^{2} C_{0}(K-1) \) is absorbed by the cell.,The energy stored in the capacitor is reduced by \( \varepsilon^{2} C_{0}(K-1) \),The external agent has to do \( \frac{1}{2} \varepsilon^{2} C_{0}(K-1) \) amount of work to take the slab out.,,Physics,Electricity,Charge \( \varepsilon C_{0}(K-1) \) flows through the cell,1
"Find the emf induced in the coil shown
in figure.The magnetic fields is perpendicular to the plane of the coil and is constant.",zero,Infinity,can't say,None of these,,Physics,Electricity,zero,1
"A current of \( 1 A \) flowing along positive \( x \) axis through a straight wire of length \( 0.5 m \) placed in a region of a magnetic field given by \( \vec{B}=(2 \hat{i}+4 \hat{j}) \) T. The
magnitude and direction of the force experienced by the wire respectively
are:","\( \sqrt{18} N, \) along positive \( z \) axis","\( \sqrt{20} N \), along positive \( x \) axis",\( 2 N \) along positive z axis,\( 4 N \) along positive Y axis,,Physics,Electricity,"\( \sqrt{18} N, \) along positive \( z \) axis",1
"Kirchhoff's first law ie, \( \Sigma i=0 \) at a
junction is based on the law of conservation of",Charge,Energy,Momentum,Angular momentum,,Physics,Electricity,Charge,1
"Two circular loops \( P \) and \( Q \) are
concentric and coplanar as shown in
figure. The loop \( Q \) is smaller than \( P . \) If
the current \( I_{1} \) flowing in loop is decreasing with time, then the current
\( I_{2} \) in the \( \operatorname{loop} Q \)",flows in the same direction as that of \( P \),flows in the opposite direction as that of \( Q \),is zero,None of these,,Physics,Electricity,flows in the same direction as that of \( P \),1
"Assertion
When a charge is brought near a
conductor then a very small value
current is established in the conductor
Reason
since electric field inside the conductor
has to be zero so to overcome the
electric field of the external charge,
internal charge of conductor is
collected all accross the surface.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Electricity,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
"A small circular ring is kept inside a
larger loop connected to a switch and a
battery as shown. The direction of
induced current when the switch is
made (i) ON (ii) OFF after it was ON for a
long time is:","clockwise, anti-clockwise","clockwise, clockwise","anti-clockwise, clockwise","anti-clockwise, anti-clockwise",,Physics,Electricity,"clockwise, anti-clockwise",1
Which of the following is a good conductor of heat?,steel,Glass,wood,Rubber,,Physics,Electricity,steel,1
Two metal spheres \( A \) and \( B \) of exactly same mass are given equal positive and negative charges respectively. Their masses after charging:,Remains unaffected,Mass of \( A> \) mass of B,Mass of \( A< \) mass of \( B \),Nothing can be said,,Physics,Electricity,Remains unaffected,1
"Assertion
A capacitor blocks direct current in the
steady state.
Reason
The capacitive reactance of the capacitor is inversely proportional to
frequency f of the source of e.m.f...",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Assertion is correct but Reason is incorrect,Both Assertion and Reason are incorrect,,Physics,Electricity,Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,1
A body is brought near to a negatively charged gold leaf electroscope. If the divergence of leaves increases. What is the nature of charge on the body?,Positive,Negative,No charge,cant say,,Physics,Electricity,Positive,1
"Which of the following pairs of
semiconductor devices and the
materials used don't match?",Solar cell : \( C u I n S e_{2} \) as absorber and \( C d S \) as collector,LED:GaAs and AlGaAs,optical fibre : Vitreous high silica glass doped with germanium,Semiconductor Laser: NdYAG,,Physics,Electricity,Solar cell : \( C u I n S e_{2} \) as absorber and \( C d S \) as collector,1
